2025-10-02 08:46:57 | feature_weights | INFO     | [feature_weights.py:547] | load_weights | MainThread | Feature weights 로드 완료 (41개, 활성 33개) [json]
2025-10-02 08:46:57 | feature_weights | INFO     | [feature_weights.py:575] | load_weights | MainThread | Active features 로드 완료 (33개)
2025-10-02 08:46:57 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_importance 로드 완료
2025-10-02 08:46:57 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_statistics 로드 완료
2025-10-02 08:47:14 | feature_weights | INFO     | [feature_weights.py:547] | load_weights | MainThread | Feature weights 로드 완료 (41개, 활성 33개) [json]
2025-10-02 08:47:14 | feature_weights | INFO     | [feature_weights.py:575] | load_weights | MainThread | Active features 로드 완료 (33개)
2025-10-02 08:47:14 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_importance 로드 완료
2025-10-02 08:47:14 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_statistics 로드 완료
2025-10-02 09:27:26 | feature_weights | INFO     | [feature_weights.py:547] | load_weights | MainThread | Feature weights 로드 완료 (41개, 활성 33개) [json]
2025-10-02 09:27:26 | feature_weights | INFO     | [feature_weights.py:575] | load_weights | MainThread | Active features 로드 완료 (33개)
2025-10-02 09:27:26 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_importance 로드 완료
2025-10-02 09:27:26 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_statistics 로드 완료
2025-10-02 10:20:01 | feature_weights | INFO     | [feature_weights.py:547] | load_weights | MainThread | Feature weights 로드 완료 (41개, 활성 33개) [json]
2025-10-02 10:20:01 | feature_weights | INFO     | [feature_weights.py:575] | load_weights | MainThread | Active features 로드 완료 (33개)
2025-10-02 10:20:01 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_importance 로드 완료
2025-10-02 10:20:01 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_statistics 로드 완료
2025-10-02 10:20:07 | feature_weights | INFO     | [feature_weights.py:547] | load_weights | MainThread | Feature weights 로드 완료 (41개, 활성 33개) [json]
2025-10-02 10:20:07 | feature_weights | INFO     | [feature_weights.py:575] | load_weights | MainThread | Active features 로드 완료 (33개)
2025-10-02 10:20:07 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_importance 로드 완료
2025-10-02 10:20:07 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_statistics 로드 완료
2025-10-02 10:20:07 | feature_weights | INFO     | [feature_weights.py:473] | update_active_features | MainThread | Feature 활성화 상태 업데이트: 41개
2025-10-02 10:20:07 | feature_weights | INFO     | [feature_weights.py:514] | _save_analysis_results | MainThread | 피처 분석 결과 저장 완료
2025-10-02 10:20:07 | feature_weights | INFO     | [feature_weights.py:612] | save_weights | MainThread | Feature weights 저장 완료
2025-10-02 10:20:08 | feature_weights | INFO     | [feature_weights.py:547] | load_weights | MainThread | Feature weights 로드 완료 (41개, 활성 32개) [json]
2025-10-02 10:20:08 | feature_weights | INFO     | [feature_weights.py:560] | load_weights | MainThread | Feature weights 로드 완료 (41개) [joblib]
2025-10-02 10:20:08 | feature_weights | INFO     | [feature_weights.py:575] | load_weights | MainThread | Active features 로드 완료 (32개)
2025-10-02 10:20:08 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_importance 로드 완료
2025-10-02 10:20:08 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_statistics 로드 완료
2025-10-02 10:20:10 | feature_weights | INFO     | [feature_weights.py:547] | load_weights | MainThread | Feature weights 로드 완료 (41개, 활성 32개) [json]
2025-10-02 10:20:10 | feature_weights | INFO     | [feature_weights.py:560] | load_weights | MainThread | Feature weights 로드 완료 (41개) [joblib]
2025-10-02 10:20:10 | feature_weights | INFO     | [feature_weights.py:575] | load_weights | MainThread | Active features 로드 완료 (32개)
2025-10-02 10:20:10 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_importance 로드 완료
2025-10-02 10:20:10 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_statistics 로드 완료
2025-10-02 10:20:10 | feature_weights | INFO     | [feature_weights.py:473] | update_active_features | MainThread | Feature 활성화 상태 업데이트: 41개
2025-10-02 10:20:10 | feature_weights | INFO     | [feature_weights.py:514] | _save_analysis_results | MainThread | 피처 분석 결과 저장 완료
2025-10-02 10:20:10 | feature_weights | INFO     | [feature_weights.py:612] | save_weights | MainThread | Feature weights 저장 완료
2025-10-02 10:20:11 | feature_weights | INFO     | [feature_weights.py:547] | load_weights | MainThread | Feature weights 로드 완료 (41개, 활성 33개) [json]
2025-10-02 10:20:11 | feature_weights | INFO     | [feature_weights.py:560] | load_weights | MainThread | Feature weights 로드 완료 (41개) [joblib]
2025-10-02 10:20:11 | feature_weights | INFO     | [feature_weights.py:575] | load_weights | MainThread | Active features 로드 완료 (33개)
2025-10-02 10:20:11 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_importance 로드 완료
2025-10-02 10:20:11 | feature_weights | INFO     | [feature_weights.py:585] | load_weights | MainThread | feature_statistics 로드 완료
2025-10-02 10:20:14 | feature_weights | INFO     | [feature_weights.py:547] | load_weights | MainThread | Feature weights 로드 완료 (41개, 활성 33개) [json]
2025-10-02 10:20:14 | feature_weights | INFO     | [feature_weights.py:560] | load_weights | MainThread | Feature weights 로드 완료 (41개) [joblib]
